A,B,C,D,E,F,G,H,I,J,K
1,101,201,301,401,OTHER,501,1,601,701,19
2,102,202,302,402,ALL,502,2,602,702,9
3,103,203,303,403,OTHER,503,3,603,703,26
4,104,204,304,404,ALL,504,25,604,704,4
5,105,205,305,405,OTHER,505,5,605,705,26
6,106,206,306,406,ALL,506,6,606,706,29
7,107,207,307,407,OTHER,507,7,607,707,25
8,108,208,308,408,ALL,508,12,608,708,8
9,109,209,309,409,OTHER,509,9,609,709,23
10,110,210,310,410,ALL,510,10,610,710,18
11,111,211,311,411,OTHER,511,11,611,711,26
12,112,212,312,412,ALL,512,13,612,712,12
13,113,213,313,413,OTHER,513,13,613,713,32
14,114,214,314,414,ALL,514,14,614,714,23
15,115,215,315,415,OTHER,515,15,615,715,41
16,116,216,316,416,ALL,516,40,616,716,16
17,117,217,317,417,OTHER,517,17,617,717,45
18,118,218,318,418,ALL,518,18,618,718,19
19,119,219,319,419,OTHER,519,19,619,719,44
20,120,220,320,420,ALL,520,29,620,720,20
21,121,221,321,421,OTHER,521,21,621,721,47
22,122,222,322,422,ALL,522,22,622,722,28
23,123,223,323,423,OTHER,523,23,623,723,46
24,124,224,324,424,ALL,524,32,624,724,24
25,125,225,325,425,OTHER,525,25,625,725,39
26,126,226,326,426,ALL,526,26,626,726,37
27,127,227,327,427,OTHER,527,27,627,727,36
28,128,228,328,428,ALL,528,36,628,728,28
29,129,229,329,429,OTHER,529,29,629,729,34
30,130,230,330,430,ALL,530,30,630,730,37
31,131,231,331,431,OTHER,531,31,631,731,56
32,132,232,332,432,ALL,532,37,632,732,32
33,133,233,333,433,OTHER,533,33,633,733,44
34,134,234,334,434,ALL,534,34,634,734,38
35,135,235,335,435,OTHER,535,35,635,735,38
36,136,236,336,436,ALL,536,60,636,736,36
37,137,237,337,437,OTHER,537,37,637,737,50
38,138,238,338,438,ALL,538,38,638,738,42
39,139,239,339,439,OTHER,539,39,639,739,51
40,140,240,340,440,ALL,540,44,640,740,40
41,141,241,341,441,OTHER,541,41,641,741,69
42,142,242,342,442,ALL,542,42,642,742,54
43,143,243,343,443,OTHER,543,43,643,743,63
44,144,244,344,444,ALL,544,66,644,744,44
45,145,245,345,445,OTHER,545,45,645,745,54
46,146,246,346,446,ALL,546,46,646,746,72
47,147,247,347,447,OTHER,547,47,647,747,49
48,148,248,348,448,ALL,548,72,648,748,48
49,149,249,349,449,OTHER,549,49,649,749,73
50,150,250,350,450,ALL,550,50,650,750,65
51,151,251,351,451,OTHER,551,51,651,751,69
52,152,252,352,452,ALL,552,81,652,752,52
53,153,253,353,453,OTHER,553,53,653,753,57
54,154,254,354,454,ALL,554,54,654,754,84
55,155,255,355,455,OTHER,555,55,655,755,68
56,156,256,356,456,ALL,556,74,656,756,56
57,157,257,357,457,OTHER,557,57,657,757,60
58,158,258,358,458,ALL,558,58,658,758,76
59,159,259,359,459,OTHER,559,59,659,759,69
60,160,260,360,460,ALL,560,63,660,760,60
61,161,261,361,461,OTHER,561,61,661,761,88
62,162,262,362,462,ALL,562,62,662,762,83
63,163,263,363,463,OTHER,563,63,663,763,83
64,164,264,364,464,ALL,564,83,664,764,64
65,165,265,365,465,OTHER,565,65,665,765,94
66,166,266,366,466,ALL,566,66,666,766,94
67,167,267,367,467,OTHER,567,67,667,767,79
68,168,268,368,468,ALL,568,82,668,768,68
69,169,269,369,469,OTHER,569,69,669,769,88
70,170,270,370,470,ALL,570,70,670,770,77
71,171,271,371,471,OTHER,571,71,671,771,94
72,172,272,372,472,ALL,572,74,672,772,72
73,173,273,373,473,OTHER,573,73,673,773,76
74,174,274,374,474,ALL,574,74,674,774,76
75,175,275,375,475,OTHER,575,75,675,775,97
76,176,276,376,476,ALL,576,77,676,776,76
77,177,277,377,477,OTHER,577,77,677,777,85
78,178,278,378,478,ALL,578,78,678,778,103
79,179,279,379,479,OTHER,579,79,679,779,89
80,180,280,380,480,ALL,580,83,680,780,80
81,181,281,381,481,OTHER,581,81,681,781,84
82,182,282,382,482,ALL,582,82,682,782,110
83,183,283,383,483,OTHER,583,83,683,783,91
84,184,284,384,484,ALL,584,91,684,784,84
85,185,285,385,485,OTHER,585,85,685,785,113
86,186,286,386,486,ALL,586,86,686,786,90
87,187,287,387,487,OTHER,587,87,687,787,100
88,188,288,388,488,ALL,588,96,688,788,88
89,189,289,389,489,OTHER,589,89,689,789,98
90,190,290,390,490,ALL,590,90,690,790,105
91,191,291,391,491,OTHER,591,91,691,791,112
92,192,292,392,492,ALL,592,109,692,792,92
93,193,293,393,493,OTHER,593,93,693,793,120
94,194,294,394,494,ALL,594,94,694,794,106
95,195,295,395,495,OTHER,595,95,695,795,101
96,196,296,396,496,ALL,596,116,696,796,96
97,197,297,397,497,OTHER,597,97,697,797,109
98,198,298,398,498,ALL,598,98,698,798,110
99,199,299,399,499,OTHER,599,99,699,799,106
100,200,300,400,500,ALL,600,101,700,800,100
